R12148	RXN-22660
R09071	RXN-21293
R04043	3.1.1.71-RXN
R12207	RXN0-2001
R12722	RXN-19455
R10206	RXN-18086
R02561	4-AMINOBENZOATE-1-MONOOXYGENASE-RXN
R01735	2-OXOALDEHYDE-DEHYDROGENASE-NAD+-RXN
R00782	RXN-19596
R11261	3.2.1.68-RXN
R11194	1.17.99.1-RXN
R13017	RXN-22961
R12023	RXN-22088
R04632	RXN-18284
R04587	UDPACYLGLCNACDEACETYL-RXN
R11856	RXN-18976
R11030	RXN-23268
R06030	CELLULOSE-SYNTHASE-GDP-FORMING-RXN
R13126	RXN-23701
R04929	SULFATE-ADENYLYLTRANS-RXN
R03768	RXN-7992
R03438	RXN-16151
R10915	RXN-11813
R12669	RXN-21420
R10310	RXN-9483
R11541	RXN-17826
R02605	4.5.1.4-RXN
R12851	RXN-22497
R05157	1.14.12.16-RXN
R03803	DEOXYLIMONATE-A-RING-LACTONASE-RXN
R06028	CHITIN-SYNTHASE-RXN
R02683	RXN-21138
R01815	TYROSINE-3-MONOOXYGENASE-RXN
R08806	RXN-11220
R01402	RXN-14304
R06805	RXN-14001
R02970	2.6.1.47-RXN
R11601	RXN-18263
R03437	2.3.1.67-RXN
R12514	RXN-11665
R01492	RXN-19339
R00081	RXN-15838
R10117	RXN-9533
R11932	RXN-19124
R01575	RXN-8776
R03550	PROTOCATECHUATE-45-DIOXYGENASE-RXN
R02897	RXN-7755
R00985	ANTHRANSYN-RXN
R07347	RXN-7963
R03163	RXN-14969
R00920	ACETATE--COA-LIGASE-ADP-FORMING-RXN
R10115	RXN-9650
R01154	RXN0-7165
R01242	RXN-15588
R01624	RXN66-633
R07445	RXN-4231
R12276	RXN-7650
R00848	RXN0-5258-Yeast
R01348	RXN-16398
R08527	RXN66-514
R03224	RXN-17793
R05000	RXN-9003
R02683	RXN-22266
R12257	RXN-18554
R04100	RXN-12519
R12345	RXN-19814
R01185	RXN-7253
R13100	RXN-23537
R08931	RXN-12407
R02164	SUCCINATE-DEHYDROGENASE-UBIQUINONE-RXN
R08873	RXN-10839
R09106	RXN-10749
R04522	DDT-DEHYDROCHLORINASE-RXN
R08542	RXN-8540
R05713	1.8.1.5-RXN
R01625	RXN-19477
R01256	MALATE--COA-LIGASE-RXN
R08717	RXN-18913
R07253	2.3.1.165-RXN
R09933	RXN-12897
R12105	RXN-21341
R02486	1.14.11.10-RXN
R01061	GAPOXNPHOSPHN-RXN
R11853	RXN-18979
R09531	RXN-11190
R02751	RXN-14522
R10385	RXN-12908
R04123	DIFFERIC-TRANSFERRIN-REDUCTASE-RXN
R09462	RXN-23335
R05169	RXN-13199
R09590	RXN-11344
R12677	RXN-21430
R09628	RXN-11900
R11582	RXN-21564
R05465	2.5.1.66-RXN
R00028	RXN-14283
R12511	R501-RXN
R09380	RXN-10462
R11519	RXN-17494
R07198	RXN-19660
R01152	N-CARBAMOYLPUTRESCINE-AMIDASE-RXN
R02827	4.99.1.5-RXN
R02630	TRANS-RXN-167A
R11173	RXN-19315
R01449	PROPIONATE-COA-TRANSFERASE-RXN
R09529	RXN-14060
R06746	RXN-23156
R06134	RXN-14727
R05421	AMINOPARATHION-PHOSPHATASE-RXN
R00540	3.5.5.7-RXN
R10956	RXN-15405
R06960	RXN-8028
R00013	GLYOCARBOLIG-RXN
R10597	RXN-14940
R10519	RXN8J2-136
R01457	RXN66-10
R01526	RIBULOKIN-RXN
R01529	RXN-22715
R04987	RXN-9224
R02180	CHONDROITIN-4-SULFOTRANSFERASE-RXN
R07816	3.2.1.50-RXN
R04094	RXN-18763
R06836	RXN0-1401
R11928	RXN-18528
R05864	RXN-12734
R03697	RXN66-659
R06134	RXN-23525
R02593	RXN-1102
R00103	RXN-14140
R11551	RXN-17104
R11320	2.4.1.124-RXN
R06134	NMNAMIDOHYDRO-RXN
R05353	RXN-8527
R12281	RXN-19160
R07758	RXN-20375
R02514	RXN-22059
R10054	LYSINE-6-DEHYDROGENASE-RXN
R02336	HALOACETATE-DEHALOGENASE-RXN
R01273	URIDINE-NUCLEOSIDASE-RXN
R01383	RXN-13608
R01982	GALACTURAN-14-ALPHA-GALACTURONIDASE-RXN
R09107	ACETYLORNDEACET-RXN
R02822	3.3.2.10-RXN
R07767	RXN0-949
R00019	HYDROG-RXN
R01151	RXN-6381
R01460	STERYL-BETA-GLUCOSIDASE-RXN
R04587	RXN-22247
R10056	RXN-13186
R00615	RXN-12195
R06076	RXN-18250
R08661	RXNQT-4328
R10255	RXN-14405
R10901	RXN0-2361
R05421	RXN-8743
R04469	RXN-18302
R12425	RXN-13036
R01706	RXN-9555
R06968	RXN-8015
R12289	RXN-18614
R01033	RXN-10442
R06547	RXN-8234
R03361	1-PHOSPHATIDYLINOSITOL-KINASE-RXN
R01507	1.13.11.14-RXN
R02313	1.5.1.9-RXN
R07192	1.14.13.54-RXN
R04550	RXN-23221
R05305	RXN-17781
R12670	RXN-20932
R01627	DHSHIKIMATE-DEHYDRO-RXN
R05925	RXN-21076
R11869	RXN-18893
R07372	CHOLESTEROL-7-ALPHA-MONOOXYGENASE-RXN
R09792	RXN-12719
R10559	RXN-14334
R02661	RXN-14262
R03428	2.7.1.133-RXN
R06183	2.4.1.100-RXN
R12390	RXN-19911
R02815	PTERIN-DEAMINASE-RXN
R01530	DARAB5PISOM-RXN
R04231	P-PANTOCYSLIG-RXN
R01492	RXN-19369
R07360	RXN-11623
R01974	4.1.1.74-RXN
R07849	RXN-19144
R12459	RXN-20642
R00551	ARGINASE-RXN
R03236	TAGAKIN-RXN
R09921	RXN-12883
R04328	RXN-20442
R10806	RXN-14992
R00691	PREPHENATEDEHYDRAT-RXN
R01109	RXN-14497
R02484	URA-PHOSPH-RXN
R03215	1.2.2.3-RXN
R03051	ACETOOHBUTREDUCTOISOM-RXN
R09799	RXN-11175
R12461	RXN-20594
R03775	RXN-11876
R01175	RXN-14771
R09067	RXN-7673
R10867	RXN-12177
R04328	RXN66-18
R04806	RXN-13690
R10819	RXN0-5306
R07318	RXN-17401
R03916	GAMMA-GLUTAMYLTRANSFERASE-RXN
R05305	RXN0-2044
R01993	DIHYDROOROT-RXN
R05223	RXN-19302
R10657	RXN-22282
R00988	RXN-17150
R06236	RXN-15167
R11182	RXN-15943
R09555	RXN-2401
R07737	RXN-3768
R00533	SULFITE-OXIDASE-RXN
R00026	RXN-10773
R01624	RXN1G-499
R10576	RXN-14926
R04587	RXN2B4Q-49
R03495	12-BETA-HYDROXYSTEROID-DEHYDROGENASE-RXN
R12479	RXN-18930
R02489	GENTISATE-DECARBOXYLASE-RXN
R11528	RXN-22700
R11006	RXN-16338
R04130	1.14.13.10-RXN
R05174	4.2.1.98-RXN
R12917	RXN-22330
R12626	RXN-21142
R00390	RXN-12978
R07372	RXN-13220
R06771	RXN-14545
R05405	RXN-8818
R00473	RXN-8961
R08548	3.1.3.68-RXN
R10329	RXN-14310
R13123	RXN-23554
R01175	RXN-18383
R03529	R581-RXN
R03747	RXN-11669
R10728	RXN-19676
R12148	RXN-13264
R01072	PRPPAMIDOTRANS-RXN
R08527	RXN-23501
R01449	R11-RXN
R07034	RXN-23021
R01348	RXN-9805
R02387	RXN-13871
R10971	RXN-15426
R05245	RXN-17344
R01486	RXN-15855
R00782	RXN-8052
R12942	RXN-22229
R02445	RXN-8379
R09820	RXNMETA-12672
R11403	RXN-18743
R00390	RXN-16402
R11004	RXN-15113
R00389	RXN-19957
R04988	RXN-9240
R07864	LIPOXYGENASE-RXN
R04606	RXN-20785
R04450	CITRATE-PRO-3S-LYASE-THIOLESTERASE-RXN
R11824	RXN-18786
R12257	RXN-18558
R00238	RXN-12751
R01003	DOLICHYL-PHOSPHATASE-RXN
R12303	RXN-20090
R06518	RXN-11375
R13104	RXN-23541
R02379	RXN-1104
R01008	2.4.1.153-RXN
R09994	RXN-13028
R03560	O-CRESOL-METHYLCATECHOL-RXN
R04538	FURYLFURAMIDE-ISOMERASE-RXN
R07263	NAPHTHOATE-SYN-RXN
R03824	RXN-19178
R12504	RXN-20391
R02511	1.5.8.2-RXN
R10115	RXN-9652
R02419	MALEATE-HYDRATASE-RXN
R04403	2.7.11.29-RXN
R01215	VALINE-PYRUVATE-AMINOTRANSFER-RXN
R00563	1.5.1.19-RXN
R03110	2.7.8.22-RXN
R00694	HISTAMINOTRANS-RXN
R11134	RXN-13341
R01496	RXN-20356
R03711	ACTINOMYCIN-LACTONASE-RXN
R03397	GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN
R00238	RXN-14799
R11989	RXN-18881
R08896	RXN-13165
R01990	GUANIDINOBUTYRASE-RXN
R10080	RXN-13398
R08898	RXN-13203
R12522	RXN-21310
R03543	BENZENE-12-DIOXYGENASE-RXN
R10140	RXN-13585
R01144	4-METHYLOXALOACETATE-ESTERASE-RXN
R06450	RXN-15063
R05812	RXN-8765
R12265	RXN-19620
R03626	RXN-23005
R11400	RXN-19397
R05861	RXN-17951
R05666	RXN-23322
R10593	RXN-9564
R10781	RXN-15649
R11950	RXN-10459
R13021	RXN-22959
R01021	RXN0-7298
R11562	RXN-17630
R06134	R311-RXN
R04617	UDP-NACMURALGLDAPAALIG-RXN
R12943	RXN-22533
R02552	3.5.1.64-RXN
R00628	DIGLUCOACETYL-DOCOSANOATE-HYDROLYSIS-RXN
R01715	CHORISMATEMUT-RXN
R09945	RXN-12960
R09860	RXN-12739
R01943	RXN-1126
R01279	RXN-16540
