R00001	ENDOPOLYPHOSPHATASE-RXN
R00004	INORGPYROPHOSPHAT-RXN
R00005	ALLOPHANATE-HYDROLASE-RXN
R00008	4.1.3.17-RXN
R00009	CATAL-RXN
R00010	TREHALA-RXN
R00011	MANGANESE-PEROXIDASE-RXN
R00012	2.7.7.45-RXN
R00013	GLYOCARBOLIG-RXN
R00014	RXN-12583
R00015	RXN-1781
R00016	GLUCOSE-1-PHOSPHATE-PHOSPHODISMUTASE-RXN
R00018	2.5.1.44-RXN
R00019	HYDROG-RXN
R00021	GLUTAMATE-SYNTHASE-FERREDOXIN-RXN
R00022	RXN-12625
R00023	HYPONITRITE-REDUCTASE-RXN
R00024	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN
R00025	2-NITROPROPANE-DIOXYGENASE-RXN
R00026	RXN-10773
R00027	BENZOIN-ALDOLASE-RXN
R00028	RXN-15910
R00031	RXN-5861
R00032	RXN-13374
R00036	PORPHOBILSYNTH-RXN
R00038	PROPIOIN-SYNTHASE-RXN
R00039	RXN-11490
R00042	1.2.3.13-RXN
R00043	LIGNOSTILBENE-ALPHA-BETA-DIOXYGENASE-RXN
R00044	COLUMBAMINE-OXIDASE-RXN
R00045	RXN-13061
R00048	HYDROXYBUTYRATE-DIMER-HYDROLASE-RXN
R00049	2.3.1.90-RXN
R00052	CHLORIDE-PEROXIDASE-RXN
R00053	TANNASE-RXN
R00054	ORSELLINATE-DEPSIDE-HYDROLASE-RXN
R00055	RXN-7802
R00057	THIOL-OXIDASE-RXN
R00058	CATECHOL-OXIDASE-RXN
R00059	RXN-3962
R00060	1.10.3.7-RXN
R00061	1.10.3.8-RXN
R00063	2.3.1.103-RXN
R00066	RIBOFLAVIN-SYN-RXN
R00068	RXN-3541
R00069	IMIDHYD-RXN
R00070	RXN-16676
R00073	RXN-16677
R00075	2.5.1.43-RXN
R00078	RXN0-1483
R00080	CATECHOL-OXIDASE-DIMERIZING-RXN
R00083	LACCASE-RXN
R00084	OHMETHYLBILANESYN-RXN
R00085	APYRASE-RXN
R00086	ATPASE-RXN
R00087	ATP-PYROPHOSPHATASE-RXN
R00088	ATP-DEAMINASE-RXN
R00089	ADENYLATECYC-RXN
R00090	NADH-PEROXIDASE-RXN
R00091	RXN-16679
R00092	FERRIC-CHELATE-REDUCTASE-RXN
R00093	GLUTAMATE-SYNTHASE-NADH-RXN
R00095	1.6.5.4-RXN
R00102	NADNUCLEOSID-RXN
R00103	NADPYROPHOSPHAT-RXN
R00104	NAD-KIN-RXN
R00105	NADH-KINASE-RXN
R00111	RXN-13565
R00112	PYRNUTRANSHYDROGEN-RXN
R00113	NADPH-PEROXIDASE-RXN
R00114	GLUTAMATESYN-RXN
R00115	GLUTATHIONE-REDUCT-NADPH-RXN
R00118	RXN-5822
R00119	RXN-13973
R00120	GLUTATHIONE-OXIDASE-RXN
R00122	RXN-10862
R00123	ADP-DEAMINASE-RXN
R00125	3.6.1.41-RXN
R00126	ATP-ADENYLYLTRANSFERASE-RXN
R00127	ADENYL-KIN-RXN
R00128	ADENOSINE-TETRAPHOSPHATASE-RXN
R00129	4.2.1.93-RXN
R00130	DEPHOSPHOCOAKIN-RXN
R00131	UREASE-RXN
R00134	FORMATE-DEHYDROGENASE-NADP+-RXN
R00137	2.7.7.1-RXN
R00138	TRIPHOSPHATASE-RXN
R00141	AMMONIA-KINASE-RXN
R00143	HYDROXYLAMINE-REDUCTASE-NADH-RXN
R00149	RXN-13202
R00150	CARBAMATE-KINASE-RXN
R00155	RXN-12197
R00156	UDPKIN-RXN
R00158	RXN-12002
R00159	RXN-12196
R00160	FAD-PYROPHOSPHATASE-RXN
R00161	FADSYN-RXN
R00162	2.7.12.1-RXN
R00173	3.1.3.74-RXN
R00174	PYRIDOXKIN-RXN
R00177	S-ADENMETSYN-RXN
R00178	SAMDECARB-RXN
R00179	4.4.1.14-RXN
R00180	ADENOSYLMETHIONINE-CYCLOTRANSFERASE-RXN
R00181	AMP-DEAMINASE-RXN
R00182	AMP-NUCLEOSID-RXN
